"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","beta carotene content ug/g|CO:0000095","cassava bacterial blight incidence 3-month evaluation|CO:0000178","cassava mosaic disease incidence 1-month evaluation|CO:0000195"
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635028","test accession1","","plot","774876","loll_1001","1","1","1001","1","1","2","4","4"
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635028","test accession1","","plot","774865","loll_1002","2","1","1002","1","2","5","7",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635029","test_accession2","","plot","774869","loll_1003","1","1","1003","1","3","8","10",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635027","test_accession3","","plot","774870","loll_1004","1","1","1004","2","1","11","13",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635029","test_accession2","","plot","774875","loll_1005","2","1","1005","2","2","14","16",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635027","test_accession3","","plot","774866","loll_1006","2","1","1006","2","3","17","19",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635027","test_accession3","","plot","774864","loll_1007","3","1","1007","3","1","20","22",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635028","test accession1","","plot","774871","loll_1008","3","1","1008","3","2","23","25",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635028","test accession1","","plot","774862","loll_1009","4","1","1009","3","3","26","28",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635029","test_accession2","","plot","774872","loll_1010","3","1","1010","4","1","29","31",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635029","test_accession2","","plot","774863","loll_1011","4","1","1011","4","2","32","34",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635028","test accession1","","plot","774867","loll_1012","5","1","1012","4","3","35","37",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635029","test_accession2","","plot","774874","loll_1013","5","1","1013","5","1","38","40",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635027","test_accession3","","plot","774868","loll_1014","4","1","1014","5","2","41","43",""
"2016","3246","loll","CRD","75","Patia. Cauca, Colombia","635027","test_accession3","","plot","774873","loll_1015","5","1","1015","5","3","44","46",""
